a la mode,[B:lB:5mEud],"adj.流行的,时髦的,加冰淇淋的",
shake,[Feik],"v.摇动,摇,颤抖,震动;n.摇动,摇,颤抖,震动", 
shaky,[5Feiki],"adj.虚弱的,颤抖的,不安的,不可靠的,震动的,摇晃的,动摇的", 
shallow,[5FAlEu],"adj.浅的,浅薄的", 
sham,[FAm],v.佯装;n.伪品;adj.虚假的,把shame（害臊）的e去掉，成sham 
shame,[Feim],"n.羞耻,羞愧,可耻的人(或事物)", 
shameful,[5Feimful],不体面的, 
shameless,[5Feimlis],adj.不知羞耻的, 
shampoo,[FAm5pu:],"n.洗发精,洗发香波,洗发;vt.洗头,洗发", 
shape,[Feip],"n.外形,形状,形态,(尤指女子的)体形,身段,形式;vt.制作,定形,使成形,塑造,使符合;vi.成形,形成,成长",分割*记忆：ship（船）＋shape（形状）→船的形状→整洁的 
shapeless,[5Feiplis],"adj.不成形的,无定形的", 
share,[FZE],"n.共享,参与,一份,部分,份额,参股;vt.分享,均分,共有,分配;vi.分享;[计]使DOS支持文件共享和锁定",share（股份）＋holder（拥有者）→股东 
shareholder,[5FZEhEuldE],n.股东, 
shark,[FB:k],"n.[鱼]鲨鱼,骗子<俚>内行,专家;v.敲诈", 
sharp,[FB:p],"n.高调,内行,利刃,骗子;adj.锐利的,锋利的,明显的,强烈的,刺耳的,急剧的,精明的,敏捷的;adv.整,锐利地,急速地;日本夏普公司", 
sharpen,[5FB:pEn],"v.削尖,磨快,尖锐", 
sharply,[5FB:pli],"adv.锐利地,急剧地", 
shatter,[5FAtE],"n.粉碎,碎片,落花(叶,粒等);vt.打碎,使散开,粉碎,破坏;vi.粉碎,损坏,落叶", 
shave,[Feiv],"v.剃,刮,削刮;vt.刨,削;n.刮脸", 
shaver,[5FeivE],"n.[用具]剃须刀,修面的人", 
shear,[FiE],"v.剪,修剪,剪切",分割*记忆：she＋ear（她的耳朵→把耳朵边上的头发剪掉→剪发） 
shed,[Fed],"vt.流出,发散,散发,脱落,脱皮,摆脱;n.分水岭,棚,小屋,工棚,货棚;v.把...放入棚内,流下",angu（痛苦）＋ish．*参考：anger（愤怒） 
sheen,[Fi:n],"n.光辉;v.闪光,发出光彩", 
sheepish,[5Fi:piF],"adj.懦弱的,羞怯的", 
sheer,[FiE],"adj.全然的,纯粹的,绝对的,彻底的,透明的,峻峭的;vi.避开,躲避,偏航;vt.使避开,使偏航;adv.完全,全然,峻峭;n.偏航", 
sheet,[Fi:t],"n.(一)片,(一)张,薄片,被单,被褥", 
shelf,[Felf],"n.架子,搁板", 
shell,[Fel],"n.贝壳,壳,外形,炮弹;vt.去壳,脱落,炮轰;vi.剥落,脱壳;[计]设定命令行解释器的位置", 
shelter,[5FeltE],"n.掩蔽处,身避处,掩蔽,保护,庇护所,掩体;v.掩蔽,躲避", 
shepherd,[5FepEd],"n.牧羊人,牧羊狗;v.牧羊,看管,带领", 
sheriff,[5Ferif],"n.郡治安官,州长", 
shield,[Fi:ld],"n.防护物,护罩,盾,盾状物;vt.(from)保护,防护;v.遮蔽", 
shift,[Fift],"n.移动,轮班,移位,变化,办法,手段;vt.替换,转移,改变,移转,推卸,变速;vi.转换,移动,转变,推托,变速",组合词：make（作）＋shift（转移，改变） 
shine,[Fain],"v.照耀,发光;vt.擦亮;n.光泽,光亮", 
shiny,[5Faini],"adj.擦亮的,有光泽的,晴朗的,闪耀的,发亮的", 
ship,[Fip],"n.船,海船,舰;v.装上船,航运,载运,在船上工作", 
shipment,[5FipmEnt],"n.装船,出货", 
shipping,[5FipiN],"n.海运,运送,航行,(总称)运输船只,船舶吨数,船只总数", 
shipwreck,[5Fiprek],"n.船只失事,海难,遇难", 
shipyard,[5FipjB:d],n.造船所, 
shiver,[5FivE],"v.颤抖,打碎,碎裂;n.(无法控制的)颤抖,碎片", 
shoal,[FEul],"n.浅滩,沙洲,鱼群,大量;adj.水浅的;v.(使)变浅,驶入(浅水等),(鱼等)群集", 
shock,[FCk],"n.打击,震动,冲突,休克,突击,禾束堆,乱蓬的头发;vt.使震动,使休克,使受电击,震惊得;vi.震动,吓人;adj.蓬乱的,浓密的", 
shocking,[5FCkiN],"adj.骇人听闻的,非常讨厌的,不正当的", 
shop,[FCp],"n.商店,店铺;vi.买东西,购货", 
shopkeeper,[5FCpki:pE(r)],n.店主, 
shoplift,[],"vt,vi.从商店中偷商品", 
shoplifter,[],n.商店扒手, 
shoplifting,[`FCpAliftiN],n.入店行窃, 
shopper,[5FCpE],n.购物者, 
shopping,[5FCpiN],"n.买东西,购物", 
shore,[FC:7FCE],"n.岸,海滨,支撑柱;vt.支撑,支持", 
short,[FC:t],"n.简略,短路,短裤;adj.短的,矮的,不足的,不够的,(智力等)弱的,浅薄的,松脆的,简短;adv.突然,缺乏,不足", 
shortage,[5FC:tidV],"n.不足,缺乏", 
shortcoming,[5FC:tkQmiN],"n.缺点,短处", 
shorten,[5FC:tn],"v.缩短,(使)变短", 
shorthand,[5FC:thAnd],n.速记, 
shortly,[5FC:tli],"adv.立刻,不久,简略地,简言之,即刻", 
shorts,[FC:ts],n.短裤, 
shoulder,[5FEuldE],"n.肩,肩部,侧翼;vt.肩负,承当", 
shove,[FQv],"n.<口>推,挤;vt.<口>推挤,猛推,强使;vi.推",注意不要和shovel（铁锹）相混 
shovel,[5FQvl],"n.铲,铁铲;v.铲", 
show,[FEu],"n.表示,展览,炫耀,外观,假装;v.出示,指示,引导,说明,显示,展出,放映",组合词：show（展览）＋piece（物品） 
showcase,[5FEukeis],"n.(商店或博物馆的玻璃)陈列橱,<主美>显示优点的东西", 
shower,[5FauE],"n.阵雨,淋浴,(一)阵,(一)大批;vt.大量地给与", 
shred,[5Fred],"n.碎片,破布,少量剩余,最少量;v.撕碎,切碎", 
shrewd,[Fru:d],adj.精明,注意不要和shrew（泼妇）相混 
shriek,[Fri:k],"v.尖声叫喊,耸人听闻地报道,尖声喊叫;n.尖叫,尖声,尖声喊叫",*参考：shrill（尖声的），都带有象声词色彩 
shrill,[Fril],adj.尖声的, 
shrink,[FriNk],"v.收缩,(使)皱缩,缩短", 
shrinkage,[5FrinkidV],n.收缩, 
shrub,[FrQb],"n.灌木,灌木丛", 
shrubbery,[5FrQbEri],"n.灌木,灌木林", 
shrug,[FrQg],n.耸肩;v.耸肩,和shrub（灌木）一起*记 
shrunken,[5FrQNkEn],adj.缩小的;vbl.shrink的过去分词, 
shudder,[5FQdE],"n.vi.战栗,发抖", 
shun,[FQn],"vt.避开,避免", 
shuttle,[5FQtl],"n.往返汽车(列车、飞机),航天飞机,梭子,穿梭;v.穿梭往返", 
shy,[Fai],"adj.怕羞的,畏缩的,害羞的",来自splash（溅水，显著地展示）＋y 
sibling,[5sibliN],"n.兄弟,姐妹,同胞,同属",sib（同胞）＋ling（小） 
sick,[sik],"n.病人;adj.不舒服,有病的,恶心的,厌恶的,渴望的,病态的;vt.呕吐,追击,使狗去咬", 
sickness,[5siknis],"n.疾病,呕吐", 
side,[said],"n.边,旁边,面,侧面,胁,一方,(一个)方面,摆架子;adj.旁边的,侧面的,副的,枝节的;vi.站在同一边",desider（＝desire渴望）＋atum→渴望的东西→必需品 
sidelight,[5said7lait],"n.侧面射进来的光线,侧灯,舷灯,拾零,杂闻,间接说明", 
sideline,[5saidlain],"n.副业,边界线,兼职,附带销售的货物,局外人的观点;adj.倾斜的;vt.迫使退出", 
sideways,[5saidweiz],"adv.向一旁,向侧面地,斜地里;adj.一旁的,向侧面的", 
siege,[si:dV],"n.包围,围城,长期努力,不断袭击,围攻;v.包围,围攻",be＋siege（围攻）→围攻。siege本身是一个单词 
siesta,[si5estE],"n.午睡;vt.午睡,午休", 
sieve,[siv],"n.筛,滤网,不会保密的人;v.筛,过滤",和siege（围攻）一起*记。*参考：sift（筛） 
sift,[sift],v.详审, 
sigh,[sai],"n.叹息,叹息声;vi.叹息,叹气", 
sight,[sait],"n.视力,视觉,见,瞥见,视域,眼界", 
sightseeing,[5saitsi:iN],n.观光, 
sightseer,[5saitsi:E(r)],n.观光客, 
sign,[sain],"n.标记,符号,记号,征兆,迹象,征候;v.签名(于),署名(于)～,签署",con＋sign（签名，封存）→签完名后交托→托运 
signal,[5signl],"n.信号;adj.信号的;v.发信号,用信号通知", 
signature,[5signitFE],"n.签名,署名,信号", 
significance,[sig5nifikEns],"n.意义,重要性", 
significant,[sig5nifikEnt],"adj.有意义的,重大的,重要的", 
signify,[5signifai],"vt.表示,意味;vi.要紧,有重要性;v.颇为重要,表示", 
signpost,[5sainpEust],n.路标, 
silence,[5sailEns],"n.静,寂静,沉默,静默;vt.使沉默,使安静;v.压制", 
silent,[5sailEnt],"adj.寂静的,沉默的,无声的,无记载的", 
silhouette,[7silu(:)5et],"n.侧面影象,轮廓", 
silicon,[5silikEn],"n.[化]硅,硅元素", 
silicon,[5silikEn],"n.[化]硅,硅元素", 
silly,[5sili],"adj.愚蠢的,无聊的,失去知觉的,无助的", 
silt,[silt],"n.淤泥,残渣,煤粉,泥沙;v.(使)淤塞,充塞", 
silver,[5silvE],"n.银,银子;vt.镀银", 
similar,[5similE],"adj.相似的,类似的", 
similarity,[7simi5lAriti],"n.类似,类似处", 
similarly,[5similEli],"adv.同样地,类似于", 
simile,[5simili],"n.[修辞]明喻,明喻的说法,明喻的词语用法",fac(做)+simile(相同)→做出相同的东西→复制本 
simple,[5simpl],"adj.简单的,简易的,朴素的,简朴的,天真的,率直的,无经验的,易受骗的", 
simplicity,[sim5plisiti],"n.简单,简易,朴素,直率", 
simplification,[7simplifi5keiFEn],n.简化, 
simplify,[5simplifai],"vt.单一化,简单化", 
simplistic,[sim5plistik],adj.过分单纯化的, 
simply,[5simpli],"adv.简单地,完全,简直,仅仅,只不过,朴素地,只是", 
simulate,[5simjuleit],"vt.模拟,模仿,假装,冒充",dis＋semble＝simul（相同）→不和（本来面目）相同→隐蔽*同根词：assemble（集合），simultaneous（同时的） 
simulation,[7simju5leiFEn],"n.仿真,假装;模拟", 
simultaneously,[simEl5teiniEsly;(uF)saim-],adv.同时地, 
sin,[sin],"n.[俗]违背习俗,不合情理之事,过失,罪过,[数学]正弦函数",asin＝ass（驴子）＋ine→象驴子的→笨的 
sincere,[sin5siE],"adj.诚挚的,真实的,真诚的", 
sincerely,[sin5siEli],adv.真诚地, 
sincerity,[sin5seriti],"n.诚挚,真实,真挚", 
sinful,[5sinful],"adj.有罪的,罪孽深重的", 
singe,[sindV],"v.烧焦,烤焦",dis＋ingenuous（真诚的）→不坦白的注意：ingenious（聪慧的） 
single,[5siNgl],"adj.单一的,单身的,单纯的,孤独的,专一的,个别的;n.一个,单打,单精度型;vt.选出;vi.[棒]作一垒打", 
singly,[5siNgli],"adv.单独地,个别地,逐一地,直截了当地", 
singular,[5siNgjulE],"n.单数;adj.单一的,非凡的,异常的,持异议的",singular（独一的，非凡的）＋ity 
sinister,[5sinistE],adj.险恶的,sinist（左边的）＋er，罗马占卜时，视左侧出现的征兆为不吉祥*同根词：sinistral（左边的），sinistrorse（左旋的） 
sink,[siNk],"vi.沉下,(使)下沉;n.水槽,水池;接收器", 
sinology,[],n.汉学, 
siren,[5saiErin],"n.汽笛,警报器,空袭警报,妖妇;v.(救火车等)响着警报器行驶",原指希腊神话中半人半鸟的女海妖，以美妙歌声迷住海员，使船只触礁沉没。 
situate,[5sitjueit],"vt.使位于,使处于", 
situated,[5sitjueitid],"adj.位于,被置于境遇,处于...的立场", 
situation,[7sitju5eiFEn],"n.情形,境遇,(建筑物等的)位置", 
skate,[skeit7skit],"n.冰鞋,溜冰,老马,可鄙的人;vi.滑冰,滑过", 
skating,[5skeitiN],n.溜冰, 
skeleton,[5skelitEn],"n.(动物之)骨架,骨骼,基干,纲要,万能钥匙", 
sketch,[sketF],"n.略图,草图,概略,梗概,草图,拟定;vi.绘略图,素描;v.勾画",来自sketch（素描）＋y 
skew,[skju:],adj.歪斜的, 
ski,[ski:7Fi:],n.滑雪橇;vi.滑雪,non（不）＋skid（滑）→不滑的 
skiing,[5Fi:iN75ski:iN],"n.滑雪运动,滑雪术", 
skill,[skil],"n.技能,,技巧,熟练,巧妙",分割*记忆：skill＋et 
skillful,[5skilful],"adj.灵巧的,熟练的,制作精巧的", 
skim,[skim],v.撇去, 
skin,[skin],"n.皮,皮肤,兽皮,皮毛,外皮,外壳;v.长皮",来自词组：skinaflint（刮石头皮，爱钱如命） 
skinny,[5skini],"adj.皮的,似皮的,膜状的,小的", 
skip,[skip],"v.跳,蹦,急速改变,跳读,遗漏,跳跃;n.跳跃", 
skirmish,[5skE:miF],n.小冲突;v.进行一场小冲突, 
skirt,[skE:t],n.裙子;v.环绕, 
skull,[skQl],"n.头脑,头骨", 
sky,[skai],"n.天,天空",分割*记忆：f看作for，risk（冒险），（torisksometimesisfrisky） 
skyscraper,[5skaiskreipE(r)],"n.摩天楼,高丛的烟囱", 
skywards,[],"adv.向着天空,向天空地", 
slack,[slAk],"n.松弛,静止,淡季,闲散,家常裤;adj.松弛的,不流畅的,疏忽的,软弱的,漏水的,呆滞的,懒散的;adv.马虎地,缓慢地;vt.使松弛,使缓慢,马虎从事;vi.松懈,减弱,松驰",slack（松驰的）＋en 
slacken,[5slAkEn],"v.松弛,放慢,减弱,减少,减缓放慢",slack（松驰的）＋en 
slake,[sleik],v.消除,分割*记忆：s＋lake，一湖水→解渴 
slam,[slAm],"v.砰地关上,砰地放下,猛力抨击,冲击;n.砰,猛击,撞击,冲击", 
slander,[5slB:ndE],n.诽谤;v.诽谤,slander（诽谤）＋ous，slander可能来自scandal（丑闻，诽谤） 
slant,[slB:nt],"v.(使)倾斜,歪向;n.倾斜", 
slap,[slAp],"vt.拍,掌击,拍击;n.拍,掌击,拍击",slap（拍打）＋dash（溅）→拍打把水溅出来→草率的 
slash,[slAF],"v.猛砍,鞭打,砍伤,大量削减,严历批评,抽打;n.猛砍,(大幅度)削减,斜线", 
slaughter,[5slC:tE],"n.屠宰,残杀,屠杀;v.屠宰,残杀,屠杀", 
slave,[sleiv],n.奴隶;v.辛勤努力,分割*记忆：slave（奴隶）＋er*参考：slobber（口水），saliva（唾液） 
slavery,[5sleivEri],"n.奴隶身分,奴隶制度,苦役,束缚", 
slavish,[5sleiviF],"adj.奴隶的,奴性的,卑屈的,盲从的,专横的", 
sleep,[sli:p],"vi.睡,睡觉;n.睡眠", 
sleepily,[`sli:pili],"adv.想睡地,困倦地", 
sleepless,[5sli:plis],adj.失眠的, 
sleepwalk,[],vi.梦游, 
sleepy,[5sli:pi],"adj.困乏的,欲睡的", 
sleet,[sli:t],"n.冰雨,雨夹雪;vi.下雨雪,下冰雹", 
sleeve,[sli:v],n.袖子, 
slender,[5slendE],"adj.苗条的,微薄的,微弱的", 
slice,[slais],"n.薄片,切片,一份,部分,片段;v.切(片)", 
slide,[slaid],"v.(使)滑动,(使)滑行;n.滑,滑动,幻灯片",组合词land（地）＋slide（滑行）→地向下滑→山崩 
slight,[slait],"adj.轻微的,微小的", 
slightly,[5slaitli],"adv.些微地,苗条地", 
slim,[slim],"adj.苗条的,纤细的,不足取的,无价值的,细长的;v.变细,减肥", 
slip,[slip],"n.滑倒,事故,片,纸片;vi.滑动,滑倒,失足,减退;vt.使滑动,滑过,摆脱,闪开,塞入;adj.滑动的,活络的,有活结的;abbr.SerialLineInterfaceProtocol,串行线路接口协议,是旧式的协议", 
slipper,[5slipE],"n.拖鞋,制轮器;vt.用拖鞋打(孩子等)", 
slippery,[5slipEri],"adj.滑的,光滑的", 
slit,[slit],"vt.切开,撕裂;n.裂缝,狭长切口",*参考：split（分裂），slice（切开） 
slogan,[5slEugEn],"n.口号,标语", 
slope,[slEup],"n.斜坡,斜面,倾斜;v.(使)顺斜", 
sloppy,[5slCpi],"adj.潮湿的,多阴雨的,溅湿的,溅污的,肥大的",slop（溅出，弄赃）＋py→弄脏的 
slot,[slCt],"n.缝,狭槽,位置,水沟,细长的孔,硬币投币口,狭通道,足迹;vt.开槽于,跟踪", 
sluggish,[5slQgiF],adj.行动迟缓的, 
slum,[slQm],n.贫民窟;vi.访问贫民区, 
slump,[slQmp],"n.消沉,衰退,(物价)暴跌;v.失败,消沉,(物价)暴跌,跌落", 
slur,[slE:],v.忽视;n.污点,和blur（弄脏，变模糊）一起*记 
sly,[slai],adj.狡猾的,"来自express(表达,明白的,特殊的) "
smallpox,[5smC:lpCks],n.[医]天花, 
smart,[smB:t],"n.刺痛,痛苦;adj.巧妙的,聪明的,漂亮的,潇洒的,刺痛的,剧烈的,厉害的,敏捷的;vi.刺痛,懊恼;轻快地,严厉地,灵巧地,精确的,时髦地,大大的", 
smash,[smAF],"v.打碎,粉碎;n.打碎,粉碎;adj.出色的", 
smear,[smiE],"v.涂上,抹掉,涂污,诽谤,抹去;n.油迹,污点,涂片,釉,中伤", 
smell,[smel],"n.气味,臭味,嗅觉;v.嗅,闻到,散发(...的)气味,有(...的)气味", 
smile,[smail],vi.(～at)微笑;n.微笑, 
smoke,[smEuk],"n.烟,烟尘,烟幕;v.抽烟,吸烟;vi.冒烟", 
smooth,[smu:T],"adj.平滑的,平坦的,平稳的,无毛的,流畅的,圆滑的,安祥的;vt.使光滑,烫平,使优雅,消除;vi.变平滑,变平静;n.一块平地,平滑部分", 
smoothly,[5smu:Tli],adv.平稳地, 
smother,[5smQTE],v.窒息,分割*记忆：s＋mother． 
smudge,[smQdV],"n.污迹,熏烟;v.弄脏,用浓烟熏,染污", 
smuggle,[5smQgl],"n.走私,偷带;v.走私", 
smuggler,[`smQglE(r)],"n.走私者,走私船,走私犯", 
smuggling,[],v.走私, 
snack,[snAk],"n.小吃,快餐,一份;v.吃快餐(小吃)", 
snail,[sneil],"n.蜗牛,迟钝的人;v.捉蜗牛,缓慢移动", 
snap,[snAp],"v.猛地吸住,突然折断,使劈啪地晌,猛咬;n.猛咬,突然折断,劈啪声;adj.突然的",snap（劈拍声，折断）＋pish 
snapshot,[5snApFCt],"n.快照,急射,简单印象", 
snatch,[snAtF],v.攫取;n.攫取,分割*记忆：snap（迅速的）＋catch（抓）的缩合 
sneak,[sni:k],"vi.鬼鬼祟祟做事;vt.偷偷摸摸地做,<口>偷窃;n.鬼鬼祟祟的人,偷偷摸摸的行为,<美口>帆布胶底运动鞋;adj.暗中进行的",可能是snake（蛇）的变体 
sneer,[sniE],"v.冷笑,讥笑,嘲笑;n.冷笑,嘲笑", 
sneeze,[sni:z],n.喷嚏;vi.打喷嚏, 
sniff,[snif],"v.用力吸,嗅,闻到,发觉,轻视,用力吸气;n.吸,闻,吸气声,嗤之以鼻", 
snitch,[snitF],"n.告密者,告发者;v.偷", 
snob,[snCb],"n.势利的人,假内行", 
snobbery,[5snCbEri],n.势利, 
snobbish,[5snCbiF],adj.势利的, 
snore,[snC:7snCE],"v.打鼾,打着鼾渡过(时间);n.打鼾,鼾声", 
snub,[snQb],"n.故意怠慢,斥责;v.故意怠慢,责骂,压熄(香烟等),冷落慢待", 
snug,[snQg],adj.暖和的, 
soak,[sEuk],"v.浸,泡,浸透;n.浸透", 
soap,[sEup],n.肥皂, 
soap opera,[],n.肥皂剧, 
soar,[sC:7sCE],"v.高飞,高丛,滑翔,剧增,昂扬;n.高飞范围,高涨程度", 
sob,[sCb],"v.哭诉,(风等)发呜咽声,哭泣;n.呜咽,哭泣", 
sober,[5sEubE],adj.冷静的;v.镇定, 
soccer,[5sCkE],n.英式足球, 
sociable,[5sEuFEbl],"adj.好交际的,友善的,增进友谊的,喜欢群居的", 
social,[5sEuFEl],"adj.社会的,爱交际的,社交的,群居的",social（社交的）＋ite（人物）→名流人物*参考：elite（精英人物） 
socialize,[5sEuFElaiz],"v.使社会化,使社会主义化", 
society,[sE5saiEti],"n.社会,...会,...社,友伴,交际,社交界,上流社会", 
sociology,[7sEusi5ClEdVi],n.社会学, 
sock,[sCk],"n.短袜,鞋内衬底,轻软鞋,一击,零食;vt.给...穿袜,重击,猛投,请...吃零食;vi.爱吃零食;adj.非常成功的;adv.正着地,不偏不倚地",sock作为“短袜”一意大家都熟悉 
socket,[5sCkit],"n.窝,穴,孔,插座,牙糟;v.给...配插座", 
sodden,[5sCdn],adj.浸透的, 
sofa,[5sEufE],n.沙发, 
soft,[sCft],"adj.软的,柔软的,温和的,温柔的,不含酒精的;n.软件", 
soften,[5sC(:)fn],"v.(使)变柔软,(使)变柔和", 
softly,[5sCftli],"adv.柔软地,温柔地", 
software,[5sCftwZE],n.软件, 
soil,[sCil],"n.土壤,土地,国土,国家,温床,粪便,务农;vt.弄脏,污辱;vi.变脏", 
sojourn,[5sCdVE(:)n75sEudVE:n],v.逗留;n.逗留,分割*记忆：so＋journ（＝journey） 
solace,[5sClEs],n.安慰;v.安慰,sol（安慰）＋ace→安慰，*参考：console（安慰） 
solar,[5sEulE],"adj.太阳的,日光的", 
solemn,[5sClEm],"adj.庄严的,隆重的,严肃的",solemn（严肃的）＋ity 
solemnity,[sE5lemniti],"n.严肃,一本正经",solemn（严肃的）＋ity 
solemnly,[],"adv.严肃地,庄严地", 
solicitor,[sE5lisitE],"n.律师,法律顾问", 
